CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0137,0.9999946902610793,C0152,0.9999893447130991,C0056,0.9996632435355264
C0002,C0029,0.9998018745175111,C0199,0.9995761886042528,C0031,0.9993712696338524
C0003,C0178,0.9999953781078089,C0035,0.9996641612731948,C0133,0.9996016982836298
C0004,C0021,0.9999845430343137,C0124,0.9992880427158234,C0173,0.9992821693924707
C0005,C0073,0.9999811846242023,C0159,0.9999606635428882,C0112,0.9998379870021213
C0006,C0079,0.9999968615094157,C0117,0.9997657983205385,C0158,0.9982763697528775
C0007,C0085,0.9999951648348591,C0120,0.999816635713881,C0042,0.9995020944412722
C0008,C0161,0.9991997973037992,C0098,0.9991854536940199,C0147,0.9975807074785886
C0009,C0077,0.9995648437894508,C0025,0.9983581153712068,C0010,0.9969914057742042
C0010,C0029,0.9998349545680136,C0025,0.9993809047864827,C0002,0.9992752334217353
C0011,C0107,0.9998960677404921,C0183,0.9998742279741518,C0048,0.9998727409798568
C0012,C0102,0.9986837215866197,C0051,0.9982877140119911,C0046,0.9982814303302278
C0013,C0045,0.9999984537116768,C0041,0.9999251343788135,C0051,0.999674055166663
C0014,C0058,0.9962055508649271,C0095,0.9944230230174788,C0144,0.994299731291046
C0015,C0095,0.9990017283925641,C0144,0.9986868119540611,C0063,0.9972907665644287
C0016,C0048,0.9999953824390483,C0183,0.9999950939775435,C0011,0.9998196435966646
C0017,C0162,0.9999901973375849,C0075,0.9994394734256323,C0194,0.9994361567119041
C0018,C0200,0.9999971790103668,C0170,0.9998878222769814,C0187,0.9998444709107156
C0019,C0172,0.9999966081888912,C0047,0.9995217789779313,C0098,0.9981449690478469
C0020,C0110,0.9999923061841903,C0078,0.9999067136036391,C0080,0.9998764786747342
